id,สถานที่เลี้ยงสัตว์ เขตปศุสัตว์,สถานที่เลี้ยงสัตว์ จังหวัด,สถานที่เลี้ยงสัตว์ อำเภอ,สถานที่เลี้ยงสัตว์ ตำบล,รวมเกษตรกรผู้เลี้ยงสัตว์/ปลูกพืชอาหารสัตว์ (ราย),โคเนื้อ พื้นเมือง เพศผู้ (ตัว),โคเนื้อ พื้นเมือง เพศเมีย (แรกเกิด ถึงโคสาว) (ตัว),โคเนื้อ พื้นเมือง เพศเมีย (ตั้งท้องแรก ขึ้นไป) (ตัว),รวมโคเนื้อ พื้นเมือง (ตัว),เกษตรกรผู้เลี้ยงโคเนื้อ พื้นเมือง (ราย),โคเนื้อ พันธุ์แท้ เพศผู้ (ตัว),โคเนื้อ พันธุ์แท้ เพศเมีย (แรกเกิด ถึงโคสาว) (ตัว),โคเนื้อ พันธุ์แท้ เพศเมีย (ตั้งท้องแรก ขึ้นไป) (ตัว),รวมโคเนื้อ พันธุ์แท้ (ตัว),เกษตรกรผู้เลี้ยงโคเนื้อ พันธุ์แท้ (ราย),โคเนื้อ ลูกผสม เพศผู้ (ตัว),โคเนื้อ ลูกผสม เพศเมีย (แรกเกิด ถึงโคสาว) (ตัว),โคเนื้อ ลูกผสม เพศเมีย (ตั้งท้องแรก ขึ้นไป) (ตัว),รวมโคเนื้อ ลูกผสม (ตัว),เกษตรกรผู้เลี้ยงโคเนื้อ ลูกผสม (ราย),โคเนื้อ ขุน (ตัว),เกษตรกรผู้เลี้ยงโคเนื้อ ขุน (ราย),จำนวนรวม โคเนื้อ ทั้งสิ้น (ตัว),จำนวนรวมเกษตรกรผู้เลี้ยง โคเนื้อ ทั้งสิ้น (ราย),โคนม เพศเมีย (แรกเกิด ถึง 1 ปี) (ตัว),โคนม เพศเมีย (1 ปี ถึง ตั้งท้องแรก) (ตัว),โคนม เพศเมีย (โคกำลังรีดนม) (ตัว),โคนม เพศเมีย (โคแห้งนม) (ตัว),รวมโคนม เพศเมีย (ตัว),เกษตรกรผู้เลี้ยงโคนม เพศเมีย (ราย),โคนม เพศผู้ (ตัว),เกษตรกรผู้เลี้ยงโคนม เพศผู้ (ราย),น้ำนมที่รีดได้ ณ วันที่สำรวจ (กิโลกรัม),จำนวนรวม โคนม ทั้งสิ้น (ตัว),จำนวนรวมเกษตรกรผู้เลี้ยง โคนม ทั้งสิ้น (ราย),กระบือ พื้นเมือง เพศผู้ (ตัว),กระบือ พื้นเมือง เพศเมีย (แรกเกิดถึงกระบือสาว) (ตัว),กระบือ พื้นเมือง เพศเมีย (ตั้งท้องแรกขึ้นไป) (ตัว),รวมกระบือ พื้นเมือง (ตัว),เกษตรกรผู้เลี้ยงกระบือ พื้นเมือง (ราย),กระบือนม เพศผู้ (ตัว),กระบือนม เพศเมีย (แรกเกิดถึงกระบือสาว) (ตัว),กระบือนม เพศเมีย (ตั้งท้องแรกขึ้นไป) (ตัว),รวมกระบือ นม (ตัว),เกษตรกรผู้เลี้ยงกระบือ นม (ราย),จำนวนรวม กระบือ ทั้งสิ้น (ตัว),จำนวนรวมเกษตรกรผู้เลี้ยง กระบือ ทั้งสิ้น (ราย),สุกร พื้นเมือง (ตัว),เกษตรกรผู้เลี้ยงสุกร พื้นเมือง (ราย),สุกรพันธุ์ พ่อพันธุ์ (ตัว),สุกรพันธุ์ แม่พันธุ์ (ตัว),ลูกสุกรพันธุ์ เพศเมีย (ตัว),ลูกสุกรพันธุ์ เพศผู้ (ตัว),รวมสุกร พ่อแม่พันธุ์ และ ลูกสุกรพันธุ์ (ตัว),เกษตรกรผู้เลี้ยงสุกร พ่อแม่พันธุ์ และ ลูกสุกรพันธุ์ (ราย),ลูกสุกรขุน (ตัว),สุกรขุน (ตัว),เกษตรกรผู้เลี้ยงสุกรขุน และ ลูกสุกรขุน (ราย),จำนวนรวม สุกร ทั้งสิ้น (ตัว),จำนวนรวมเกษตรกรผู้เลี้ยง สุกร ทั้งสิ้น (ราย),ไก่ พื้นเมือง (ตัว),เกษตรกรผู้เลี้ยงไก่ พื้นเมือง (ราย),ไก่ ลูกผสม (ตัว),เกษตรกรผู้เลี้ยงไก่ ลูกผสม (ราย),ไก่ เนื้อ (ตัว),เกษตรกรผู้เลี้ยงไก่ เนื้อ (ราย),ไก่ ไข่ (ตัว),เกษตรกรผู้เลี้ยงไก่ ไข่ (ราย),ไก่ พ่อ-แม่ พันธุ์ ผลิตลูกไก่เนื้อ (PS) (ตัว),เกษตรกรผู้เลี้ยงไก่ พ่อ-แม่ พันธุ์ ผลิตลูกไก่เนื้อ (PS) (ราย),ไก่ พ่อ-แม่ พันธุ์ ผลิตลูกไก่ไข่ (PS) (ตัว),เกษตรกรผู้เลี้ยงไก่ พ่อ-แม่ พันธุ์ ผลิตลูกไก่ไข่ (PS) (ราย),ไก่ ปู่-ย่า พันธุ์ ผลิตลูกไก่เนื้อ (GP) (ตัว),เกษตรกรผู้เลี้ยงไก่ ปู่-ย่า พันธุ์ ผลิตลูกไก่เนื้อ (GP) (ราย),ไก่ ปู่-ย่า-พันธุ์ ผลิตลูกไก่ไข่ (GP) (ตัว),เกษตรกรผู้เลี้ยงไก่ ปู่-ย่า-พันธุ์ ผลิตลูกไก่ไข่ (GP) (ราย),จำนวนรวม ไก่ ทั้งสิ้น (ตัว),จำนวนรวมเกษตรกรผู้เลี้ยง ไก่ ทั้งสิ้น (ราย),เป็ด เทศ (ตัว),เกษตรกรผู้เลี้ยงเป็ด เทศ (ราย),เป็ด เนื้อ (ตัว),เกษตรกรผู้เลี้ยงเป็ด เนื้อ (ราย),เป็ด ไข่ (ตัว),เกษตรกรผู้เลี้ยงเป็ด ไข่ (ราย),เป็ด เนื้อ ไล่ทุ่ง (ตัว),เกษตรกรผู้เลี้ยงเป็ด เนื้อ ไล่ทุ่ง (ราย),เป็ด ไข่ ไล่ทุ่ง (ตัว),เกษตรกรผู้เลี้ยงเป็ด ไข่ ไล่ทุ่ง (ราย),จำนวนรวม เป็ด ทั้งสิ้น (ตัว),จำนวนรวมเกษตรกรผู้เลี้ยง เป็ด ทั้งสิ้น (ราย),แพะ เนื้อ เพศผู้ (ตัว),แพะ เนื้อ เพศเมีย แรกเกิดถึงแพะสาว (ตัว),แพะ เนื้อ เพศเมีย ตั้งท้องแรกขึ้นไป (ตัว),รวมแพะ เนื้อ (ตัว),เกษตรกรผู้เลี้ยงแพะ เนื้อ (ราย),แพะ นม เพศผู้ (ตัว),แพะ นม เพศเมีย แรกเกิดถึงแพะสาว (ตัว),แพะ นม เพศเมีย ตั้งท้องแรกขึ้นไป (ตัว),รวมแพะ นม (ตัว),เกษตรกรผู้เลี้ยงแพะ นม (ราย),จำนวนรวม แพะ ทั้งสิ้น (ตัว),จำนวนรวมเกษตรกรผู้เลี้ยง แพะ ทั้งสิ้น (ราย),แกะ เพศผู้ (ตัว),แกะ เพศเมีย แรกเกิด ถึงแกะสาว (ตัว),แกะ เพศเมีย ตั้งท้องแรก ขึ้นไป (ตัว),จำนวนรวม แกะ ทั้งสิ้น (ตัว),จำนวนรวมเกษตรกรผู้เลี้ยง แกะ ทั้งสิ้น (ราย),นกกระทา พันธุ์เนื้อ (ตัว),เกษตรกรผู้เลี้ยงนกกระทา พันธุ์เนื้อ (ราย),นกกระทา พันธุ์ไข่ (ตัว),เกษตรกรผู้เลี้ยงนกกระทา พันธุ์ไข่ (ราย),จำนวนรวม นกกระทา ทั้งสิ้น (ตัว),จำนวนรวมเกษตรกรผู้เลี้ยง นกกระทา ทั้งสิ้น (ราย),จำนวนรวมสัตว์เลี้ยง อื่นๆ ลา ทั้งสิ้น (ตัว),จำนวนรวมเกษตรกรผู้เลี้ยงสัตว์เลี้ยง อื่นๆ ลา ทั้งสิ้น (ราย),จำนวนรวมสัตว์เลี้ยง อื่นๆ ล่อ ทั้งสิ้น (ตัว),จำนวนรวมเกษตรกรผู้เลี้ยงสัตว์เลี้ยง อื่นๆ ล่อ ทั้งสิ้น (ราย),จำนวนรวมสัตว์เลี้ยง อื่นๆ ช้าง ทั้งสิ้น (ตัว),จำนวนรวมเกษตรกรผู้เลี้ยงสัตว์เลี้ยง อื่นๆ ช้าง ทั้งสิ้น (ราย),จำนวนรวมสัตว์เลี้ยง อื่นๆ ม้า ทั้งสิ้น (ตัว),จำนวนรวมเกษตรกรผู้เลี้ยงสัตว์เลี้ยง อื่นๆ ม้า ทั้งสิ้น (ราย),จำนวนรวมสัตว์เลี้ยง อื่นๆ ห่าน ทั้งสิ้น (ตัว),จำนวนรวมเกษตรกรผู้เลี้ยงสัตว์เลี้ยง อื่นๆ ห่าน ทั้งสิ้น (ราย),จำนวนรวมสัตว์เลี้ยง อื่นๆ ไก่งวง ทั้งสิ้น (ตัว),จำนวนรวมเกษตรกรผู้เลี้ยงสัตว์เลี้ยง อื่นๆ ไก่งวง ทั้งสิ้น (ราย),จำนวนรวมสัตว์เลี้ยง อื่นๆ นกกระจอกเทศ ทั้งสิ้น (ตัว),จำนวนรวมเกษตรกรผู้เลี้ยงสัตว์เลี้ยง อื่นๆ นกกระจอกเทศ ทั้งสิ้น (ราย),จำนวนรวมสัตว์เลี้ยง อื่นๆ นกอีมู ทั้งสิ้น (ตัว),จำนวนรวมเกษตรกรผู้เลี้ยงสัตว์เลี้ยง อื่นๆ นกอีมู ทั้งสิ้น (ราย),จำนวนรวมสัตว์เลี้ยง อื่นๆ กวาง ทั้งสิ้น (ตัว),จำนวนรวมเกษตรกรผู้เลี้ยงสัตว์เลี้ยง อื่นๆ กวาง ทั้งสิ้น (ราย),จำนวนรวมสัตว์เลี้ยง อื่นๆ อูฐ ทั้งสิ้น (ตัว),จำนวนรวมเกษตรกรผู้เลี้ยงสัตว์เลี้ยง อื่นๆ อูฐ ทั้งสิ้น (ราย),จำนวนรวมสัตว์เลี้ยง อื่นๆ หมูป่า ทั้งสิ้น (ตัว),จำนวนรวมเกษตรกรผู้เลี้ยงสัตว์เลี้ยง อื่นๆ หมูป่า ทั้งสิ้น (ราย),จำนวนรวมสัตว์เลี้ยง อื่นๆ นก/สัตว์ปีกสวยงาม ทั้งสิ้น (ตัว),จำนวนรวมเกษตรกรผู้เลี้ยงสัตว์เลี้ยง อื่นๆ นก/สัตว์ปีกสวยงาม ทั้งสิ้น (ราย),จำนวนรวมสัตว์เลี้ยง อื่นๆ สัตว์ปีกอื่นๆ ทั้งสิ้น (ตัว),จำนวนรวมเกษตรกรผู้เลี้ยงสัตว์เลี้ยง อื่นๆ สัตว์ปีกอื่นๆ ทั้งสิ้น (ราย),จำนวนรวมสัตว์เลี้ยง อื่นๆ ผึ้ง ทั้งสิ้น (รัง),จำนวนรวมเกษตรกรผู้เลี้ยงสัตว์เลี้ยง อื่นๆ ผึ้ง ทั้งสิ้น (ราย),จำนวนรวมสัตว์เลี้ยง อื่นๆ จิ้งหรีด ทั้งสิ้น (กิโลกรัม),จำนวนรวมเกษตรกรผู้เลี้ยงสัตว์เลี้ยง อื่นๆ จิ้งหรีด ทั้งสิ้น (ราย),จำนวนรวมสัตว์เลี้ยง อื่นๆ กระต่าย (ตัว),จำนวนรวมเกษตรกรผู้เลี้ยงสัตว์เลี้ยง อื่นๆ กระต่าย (ราย),จำนวนรวมสัตว์เลี้ยง อื่นๆ ม้าลาย (ตัว),จำนวนรวมเกษตรกรผู้เลี้ยงสัตว์เลี้ยง อื่นๆ ม้าลาย (ราย),จำนวนรวมสัตว์เลี้ยง อื่นๆ ทั้งสิ้น (ตัว),จำนวนรวมสัตว์เลี้ยง อื่นๆ ทั้งสิ้น (รัง),จำนวนรวมสัตว์เลี้ยง อื่นๆ ทั้งสิ้น (กิโลกรัม),จำนวนรวมเกษตรกรผู้เลี้ยงสัตว์เลี้ยง อื่นๆ ทั้งสิ้น (ราย),จำนวนรวม พืชอาหารสัตว์ ทั้งสิ้น (ไร่)
1,ปศุสัตว์เขต 1,กรุงเทพมหานคร,เขตคลองเตย,คลองเตย,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1557,136,0,0,26,2,0,0,0,0,0,0,0,0,0,0,1583,137,126,16,0,0,0,0,0,0,0,0,126,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ปศุสัตว์เขต 1,กรุงเทพมหานคร,เขตคลองเตย,พระโขนง,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,6,7,1,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0
3,ปศุสัตว์เขต 1,กรุงเทพมหานคร,เขตคลองสาน,คลองต้นไทร,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,ปศุสัตว์เขต 1,กรุงเทพมหานคร,เขตคลองสาน,คลองสาน,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,ปศุสัตว์เขต 1,กรุงเทพมหานคร,เขตคลองสาน,บางลำภูล่าง,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ปศุสัตว์เขต 1,กรุงเทพมหานคร,เขตคลองสาน,สมเด็จเจ้าพระยา,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ปศุสัตว์เขต 1,กรุงเทพมหานคร,เขตคลองสามวา,ทรายกองดิน,27,26,51,8,85,12,0,0,0,0,0,0,0,0,0,0,0,0,85,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645,14,0,0,23,1,93,1,0,0,0,0,0,0,0,0,761,15,0,0,15,1,4,1,0,0,0,0,19,1,44,44,0,88,2,0,0,0,0,0,88,2,0,0,5,5,1,0,0,12,1,12,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0
8,ปศุสัตว์เขต 1,กรุงเทพมหานคร,เขตคลองสามวา,ทรายกองดินใต้,106,104,123,62,289,31,4,3,1,8,1,7,22,14,43,5,8,1,348,38,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2447,61,15,1,20,1,140,3,5,1,0,0,0,0,0,0,2627,64,100,6,110,3,203,2,0,0,0,0,413,9,114,227,0,341,14,66,186,10,262,5,603,17,20,0,43,63,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,342,4,0,0,0,0,0,0,0,0,0,0,347,0,0,6,11
9,ปศุสัตว์เขต 1,กรุงเทพมหานคร,เขตคลองสามวา,บางชัน,24,9,35,2,46,5,0,0,0,0,0,0,0,0,0,0,0,0,46,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,718,10,0,0,18000,1,50,1,0,0,0,0,0,0,0,0,"18,768",12,38,2,20,1,0,0,0,0,0,0,58,3,85,141,2,228,9,0,0,0,0,0,228,9,3,0,7,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,3,1,0,0,0,0,0,0,0,0,20,0,0,5,0
10,ปศุสัตว์เขต 1,กรุงเทพมหานคร,เขตคลองสามวา,สามวาตะวันตก,15,12,34,11,57,5,0,0,0,0,0,0,0,0,0,0,0,0,57,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,1,163,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,4,22,1,0,0,0,0,0,0,0,0,22,1,32,108,0,140,10,15,150,0,165,1,305,11,6,0,23,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,ปศุสัตว์เขต 1,กรุงเทพมหานคร,เขตคลองสามวา,สามวาตะวันออก,86,52,233,45,330,38,0,0,0,0,0,1,2,2,5,1,20,2,355,39,0,0,0,0,0,0,0,0,0,0,0,6,34,0,40,5,0,0,0,0,0,40,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1165,50,0,0,50,1,0,0,0,0,0,0,0,0,0,0,"1,215",51,80,5,40,3,30,1,0,0,0,0,150,8,63,90,0,153,7,2,15,0,17,1,170,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,18,7,0,0,0,0,0,0,0,0,0,0,20,0,0,8,0
12,ปศุสัตว์เขต 1,กรุงเทพมหานคร,เขตคันนายาว,คันนายาว,75,2,5,0,7,2,0,0,0,0,0,3,6,1,10,1,0,0,17,3,9,3,5,1,18,1,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1094,64,0,0,135,16,79,13,22,3,0,0,0,0,0,0,1330,72,182,9,56,6,16,3,0,0,0,0,254,12,16,24,5,45,2,0,0,0,0,0,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0,0,0,0,9,0,40,3,0
13,ปศุสัตว์เขต 1,กรุงเทพมหานคร,เขตคันนายาว,รามอินทรา,22,2,2,0,4,1,0,0,0,0,0,6,4,4,14,2,0,0,18,3,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,450,18,0,0,18,4,37,5,3,1,0,0,0,0,0,0,508,20,15,2,12,2,84,4,0,0,0,0,111,6,5,5,5,15,2,0,1,0,1,1,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,0,0,0,0,0,0,0,0,0,0,110,1,0,0,0,0,0,0,0,0,0,0,116,0,0,3,0
14,ปศุสัตว์เขต 1,กรุงเทพมหานคร,เขตจตุจักร,จตุจักร,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,ปศุสัตว์เขต 1,กรุงเทพมหานคร,เขตจตุจักร,จันทรเกษม,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,891",54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,891",54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,ปศุสัตว์เขต 1,กรุงเทพมหานคร,เขตจตุจักร,ลาดยาว,58,0,0,0,0,0,0,0,0,0,0,0,15,20,35,1,0,0,35,1,0,0,0,0,0,0,0,0,0,0,0,2,5,1,8,1,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1407,45,0,0,2027,2,0,0,0,0,0,0,0,0,0,0,3434,46,10,2,14,2,0,0,0,0,0,0,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,869,12,165,2,0,0,0,0,0,0,0,0,1034,0,0,14,0
17,ปศุสัตว์เขต 1,กรุงเทพมหานคร,เขตจอมทอง,จอมทอง,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
